Id,Speed (km/h),Position,Distance
3.0,3.6,82.0,1.0
6.0,10.8,76.0,3.0
1.0,3.6,96.0,1.0
2.0,18.0,93.0,5.0
3.0,3.6,81.0,1.0
6.0,10.8,76.0,3.0
1.0,3.6,96.0,1.0
2.0,14.4,93.0,4.0
3.0,7.2,82.0,2.0
6.0,10.8,76.0,3.0
1.0,3.6,96.0,1.0
2.0,14.4,93.0,4.0
3.0,7.2,82.0,2.0
6.0,14.4,75.0,4.0
1.0,3.6,96.0,1.0
2.0,10.8,94.0,3.0
3.0,14.4,84.0,4.0
1.0,3.6,96.0,1.0
2.0,10.8,94.0,3.0
3.0,18.0,85.0,5.0
1.0,7.2,97.0,2.0
2.0,7.2,95.0,2.0
3.0,18.0,85.0,5.0
16.0,28.8,79.0,4.0
1.0,7.2,97.0,2.0
2.0,7.2,95.0,2.0
3.0,18.0,85.0,5.0
16.0,26.584615384615386,79.0,4.0
1.0,3.6,96.0,1.0
2.0,7.2,95.0,2.0
3.0,14.4,85.0,4.0
16.0,30.857142857142858,78.0,5.0
1.0,3.6,96.0,1.0
2.0,3.6,96.0,1.0
3.0,14.4,85.0,4.0
16.0,28.8,78.0,5.0
1.0,3.6,96.0,1.0
2.0,3.6,96.0,1.0
3.0,14.4,85.0,4.0
16.0,32.4,77.0,6.0
1.0,3.6,96.0,1.0
2.0,0.0,96.0,0.0
3.0,10.8,84.0,3.0
16.0,30.494117647058825,77.0,6.0
1.0,3.6,96.0,1.0
2.0,0.0,96.0,0.0
3.0,3.6,83.0,1.0
16.0,24.0,78.0,5.0
1.0,3.6,96.0,1.0
2.0,3.6,96.0,1.0
3.0,10.8,84.0,3.0
16.0,27.284210526315793,77.0,6.0
1.0,0.0,95.0,0.0
2.0,7.2,95.0,2.0
3.0,10.8,84.0,3.0
16.0,30.240000000000002,76.0,7.0
1.0,0.0,95.0,0.0
2.0,10.8,95.0,3.0
3.0,10.8,84.0,3.0
16.0,32.91428571428571,75.0,8.0
1.0,3.6,94.0,1.0
2.0,14.4,96.0,4.0
3.0,7.2,83.0,2.0
16.0,31.41818181818182,75.0,8.0
17.0,43.2,84.0,6.0
1.0,7.2,93.0,2.0
2.0,10.8,95.0,3.0
3.0,7.2,83.0,2.0
16.0,30.05217391304348,75.0,8.0
17.0,33.23076923076923,85.0,5.0
1.0,7.2,93.0,2.0
2.0,10.8,95.0,3.0
3.0,10.8,84.0,3.0
16.0,32.4,74.0,9.0
17.0,30.857142857142858,85.0,5.0
1.0,7.2,93.0,2.0
2.0,10.8,95.0,3.0
3.0,10.8,84.0,3.0
16.0,32.4,74.0,9.0
17.0,23.040000000000003,86.0,4.0
1.0,10.8,92.0,3.0
2.0,21.6,95.0,6.0
3.0,10.8,84.0,3.0
16.0,32.4,74.0,9.0
17.0,21.6,86.0,4.0
1.0,10.8,92.0,3.0
2.0,14.4,95.0,4.0
3.0,7.2,84.0,2.0
16.0,32.4,74.0,9.0
17.0,25.41176470588235,85.0,5.0
1.0,10.8,92.0,3.0
2.0,10.8,95.0,3.0
3.0,3.6,83.0,1.0
16.0,21.6,75.0,6.0
1.0,21.6,89.0,6.0
2.0,10.8,95.0,3.0
3.0,0.0,82.0,0.0
16.0,28.8,74.0,8.0
17.0,19.2,86.0,4.0
1.0,21.6,90.0,6.0
2.0,7.2,95.0,2.0
3.0,3.6,82.0,1.0
16.0,25.2,73.0,7.0
17.0,22.736842105263158,85.0,5.0
1.0,18.0,91.0,5.0
2.0,3.6,94.0,1.0
3.0,3.6,81.0,1.0
16.0,28.8,72.0,8.0
17.0,17.28,86.0,4.0
1.0,32.4,87.0,9.0
2.0,3.6,94.0,1.0
3.0,3.6,81.0,1.0
16.0,25.2,72.0,7.0
17.0,16.457142857142856,86.0,4.0
1.0,39.6,85.0,11.0
2.0,0.0,94.0,0.0
3.0,7.2,82.0,2.0
16.0,18.0,74.0,5.0
17.0,62.83636363636364,74.0,16.0
1.0,43.2,84.0,12.0
2.0,0.0,94.0,0.0
3.0,10.8,82.0,3.0
16.0,32.4,74.0,9.0
17.0,30.05217391304348,82.0,8.0
1.0,46.800000000000004,84.0,13.0
2.0,3.6,94.0,1.0
3.0,10.8,82.0,3.0
16.0,14.4,75.0,4.0
17.0,21.6,84.0,6.0
1.0,43.2,85.0,12.0
2.0,3.6,94.0,1.0
3.0,10.8,82.0,3.0
16.0,14.4,75.0,4.0
17.0,18.0,85.0,5.0
1.0,43.2,84.0,12.0
2.0,3.6,94.0,1.0
3.0,10.8,82.0,3.0
16.0,7.2,76.0,2.0
17.0,21.6,85.0,6.0
1.0,43.2,84.0,12.0
2.0,7.2,94.0,2.0
3.0,14.4,81.0,4.0
16.0,10.8,75.0,3.0
17.0,28.8,85.0,8.0
1.0,46.800000000000004,83.0,13.0
2.0,7.2,94.0,2.0
3.0,14.4,81.0,4.0
16.0,7.2,75.0,2.0
17.0,3.6,85.0,1.0
1.0,50.4,82.0,14.0
2.0,7.2,94.0,2.0
3.0,14.4,80.0,4.0
16.0,10.8,74.0,3.0
17.0,0.0,85.0,0.0
1.0,50.4,82.0,14.0
2.0,10.8,93.0,3.0
3.0,10.8,80.0,3.0
16.0,18.0,73.0,5.0
17.0,7.2,86.0,2.0
1.0,50.4,82.0,14.0
2.0,10.8,93.0,3.0
3.0,14.4,80.0,4.0
16.0,18.0,72.0,5.0
17.0,7.2,86.0,2.0
26.0,21.6,97.0,3.0
1.0,50.4,81.0,14.0
2.0,14.4,91.0,4.0
3.0,10.8,81.0,3.0
16.0,14.4,72.0,4.0
17.0,10.8,87.0,3.0
26.0,19.938461538461542,97.0,3.0
1.0,50.4,81.0,14.0
2.0,3.6,94.0,1.0
3.0,10.8,81.0,3.0
16.0,10.8,72.0,3.0
17.0,7.2,86.0,2.0
26.0,12.342857142857142,96.0,2.0
1.0,50.4,80.0,14.0
2.0,14.4,92.0,4.0
3.0,7.2,81.0,2.0
16.0,7.2,73.0,2.0
17.0,7.2,85.0,2.0
26.0,11.520000000000001,96.0,2.0
2.0,14.4,91.0,4.0
3.0,7.2,81.0,2.0
16.0,7.2,73.0,2.0
17.0,3.6,85.0,1.0
26.0,10.8,96.0,2.0
2.0,3.6,94.0,1.0
3.0,14.4,80.0,4.0
16.0,3.6,73.0,1.0
17.0,0.0,85.0,0.0
26.0,10.16470588235294,96.0,2.0
2.0,3.6,96.0,1.0
3.0,14.4,80.0,4.0
16.0,3.6,73.0,1.0
17.0,0.0,85.0,0.0
26.0,14.4,97.0,3.0
2.0,0.0,95.0,0.0
3.0,14.4,80.0,4.0
16.0,3.6,73.0,1.0
17.0,3.6,85.0,1.0
26.0,18.18947368421053,98.0,4.0
2.0,3.6,94.0,1.0
3.0,14.4,80.0,4.0
16.0,0.0,74.0,0.0
17.0,7.2,84.0,2.0
26.0,25.919999999999998,100.0,6.0
1.0,39.6,82.0,11.0
2.0,7.2,93.0,2.0
3.0,7.2,81.0,2.0
16.0,3.6,74.0,1.0
17.0,0.0,85.0,0.0
26.0,24.685714285714283,100.0,6.0
1.0,36.0,83.0,10.0
2.0,14.4,91.0,4.0
3.0,3.6,81.0,1.0
16.0,3.6,75.0,1.0
17.0,3.6,85.0,1.0
26.0,31.41818181818182,102.0,8.0
1.0,36.0,83.0,10.0
2.0,14.4,91.0,4.0
3.0,3.6,81.0,1.0
16.0,7.2,75.0,2.0
17.0,3.6,84.0,1.0
26.0,33.80869565217391,103.0,9.0
1.0,32.4,83.0,9.0
2.0,10.8,91.0,3.0
3.0,0.0,81.0,0.0
16.0,10.8,75.0,3.0
17.0,7.2,84.0,2.0
26.0,39.6,105.0,11.0
1.0,21.6,86.0,6.0
2.0,14.4,90.0,4.0
3.0,0.0,81.0,0.0
16.0,10.8,75.0,3.0
17.0,7.2,84.0,2.0
26.0,43.2,106.0,12.0
1.0,18.0,87.0,5.0
2.0,14.4,90.0,4.0
3.0,3.6,81.0,1.0
16.0,3.6,75.0,1.0
17.0,36.0,84.0,10.0
26.0,43.2,106.0,12.0
1.0,0.0,89.0,0.0
2.0,14.4,90.0,4.0
3.0,3.6,81.0,1.0
16.0,3.6,75.0,1.0
17.0,7.2,84.0,2.0
26.0,36.0,106.0,10.0
1.0,10.8,87.0,3.0
2.0,14.4,90.0,4.0
3.0,0.0,82.0,0.0
16.0,0.0,75.0,0.0
17.0,0.0,84.0,0.0
26.0,36.0,106.0,10.0
1.0,10.8,88.0,3.0
2.0,10.8,91.0,3.0
3.0,0.0,82.0,0.0
16.0,3.6,76.0,1.0
17.0,0.0,85.0,0.0
26.0,32.4,106.0,9.0
1.0,3.6,88.0,1.0
2.0,10.8,91.0,3.0
3.0,0.0,82.0,0.0
